# Export from Google sheet at https://docs.google.com/spreadsheets/d/1wCQPQdr9yOmjDu9Ab79-Om0IzIgIXmnkuOUfvBTcAkU/edit#gid=0
# Generated 2019-04-28
Phenotype Area	Tag name (phenotype concept)	Description	Instructions	UMLS CUI	UMLS term
Hematology & Hemostasis	Fibrinogen in blood	Quantitative measure of fibrinogen concentration in blood	Include variables that represent a fibrinogen concentration measurement. Include all time points and all repeated measures within each time point, e.g. fibrinogen measured at multiple exams. Include all instances of duplicated variables, e.g. fibrinogen variables included in multiple datasets. Include variables in all measurement units available, e.g. fibrinogen in mg/dL and fibrinogen in g/L. Include both corrected/adjusted and uncorrected/unadjusted measures.	C1318051	Fibrinogen level result
Hematology & Hemostasis	Factor VII	Quantitative measure of factor VII activity or concentration in blood	Include variables that represent measurement of factor VII activity or concentration in blood. Include all time points and all repeated measures within each time point, e.g. factor VII measured at multiple exams. Include all instances of duplicated variables, e.g. factor VII variables included in multiple datasets. Include variables in all measurement units available, e.g. factor VII activity in percentage and factor VII concentration in IU/L. Include both corrected/adjusted and uncorrected/unadjusted measures.	C0427593	Factor VII level
Hematology & Hemostasis	Factor VIII	Quantitative measure of factor VIII activity or concentration in blood	Include variables that represent measurement of factor VIII activity or concentration in blood. Include all time points and all repeated measures within each time point, e.g. factor VIII measured at multiple exams. Include all instances of duplicated variables, e.g. factor VIII variables included in multiple datasets. Include variables in all measurement units available, e.g. factor VIII activity in percentage and factor VIII concentration in IU/L. Include both corrected/adjusted and uncorrected/unadjusted measures.	C0457997	Factor VIII level
Hematology & Hemostasis	von Willebrand factor	Quantitative measure of von Willebrand factor (vWf) activity or concentration in blood	Include variables that represent measurement of vWF activity or concentration in blood. Include all time points and all repeated measures within each time point, e.g. vWf measured at multiple exams. Include all instances of duplicated variables, e.g. vWf variables included in multiple datasets. Include variables in all measurement units available, e.g. vWf activity in percentage and vWF concentration in IU/L. Include both corrected/adjusted and uncorrected/unadjusted measures.	C0427585	vWF - von Willebrand factor level result
Hematology & Hemostasis	VTE	Qualitative indicator of venous thromboembolism (VTE) status	Include variables that represent whether or when a subject has experienced VTE. VTE includes both deep venous thrombosis and pulmonary embolism. VTE does not include arterial thrombosis or arterial embolism. Include variables that represent prevalent and/or incident VTE status. Include variables that represent VTE event data, including event status and time-to-event variables. Include variables that indicate age at VTE events, e.g. self-reported age at a VTE event. Include variables indicating VTE status based on any method of determination, including self report, adjudication, clinical verification, medical records, ICD codes, or calculation/inference from related traits. Include all instances of duplicated variables, e.g. VTE variables included in multiple datasets. Include variables indicating deep vein thrombosis (DVT) status, pulmonary embolism status, and VTE status of unknown type. Include variables that specify VTE type. Do not include variables that indicate possible VTE treatments, e.g. surgical procedures. Do not include variables that indicate medication use related to VTE, e.g. anticoagulant or thrombolytic use.	C1861172	venous thromboembolism
Inflammation	CRP in blood	Quantitative measure of C-reactive protein (CRP) concentration in blood	Include variables that represent a measurement of the concentration of CRP in the blood. Include all time points and all repeated measures at each time point, e.g. CRP measured at multiple exams, and CRP measured multiple times at the same exam. Include all instances of duplicated variables, e.g. CRP variables included in multiple datasets. Include both corrected/adjusted and uncorrected/unadjusted measures. Include variables in all measurement units available, e.g. CRP in mg/dL and CRP in mmol/L.	C0428528	C-reactive protein level
Inflammation	Interleukin 6 in blood	Quantitative measure of Interleukin 6 (IL-6) concentration in blood	Include variables that represent a measurement of the concentration of IL-6 in the blood. Include all time points and all repeated measures at each time point, e.g. IL-6 measured at multiple exams, and IL-6 measured multiple times at the same exam. Include all instances of duplicated variables, e.g. IL-6 variables included in multiple datasets. Include both corrected/adjusted and uncorrected/unadjusted measures. Include variables in all measurement units available, e.g. IL-6 in mg/dL and IL-6 in mmol/L.	C0366888	Interleukin 6:ACnc:Pt:Ser/Plas:Qn
Kidney function	Creatinine in blood	Quantitative measure of creatinine concentration in blood	Include variables that represent a measurement of the concentration of creatinine in the blood. Include all time points and all repeated measures at each time point, e.g. creatinine measured at multiple exams, and creatinine measured multiple times at the same exam. Include all instances of duplicated variables, e.g. creatinine variables included in multiple datasets. Include both corrected/adjusted and uncorrected/unadjusted measures. Include variables in all measurement units available, e.g. creatinine in mg/dL and creatinine in mmol/L.	C0428279	Finding of creatinine level
Kidney function	Cystatin C in blood	Quantitative measure of cystatin C concentration in blood	Include variables that represent a measurement of the concentration of cystatin C in the blood. Include all time points and all repeated measures at each time point, e.g. cystatin C measured at multiple exams, and cystatin C measured multiple times at the same exam. Include all instances of duplicated variables, e.g. cystatin C variables included in multiple datasets. Include both corrected/adjusted and uncorrected/unadjusted measures. Include variables in all measurement units available, e.g. cystatin C in mg/dL and cystatin C in mmol/L.	C1445989	Blood cystatin C measurement
Kidney function	Albumin-creatinine ratio in urine	Quantitative measure of the ratio of albumin concentration to creatinine concentration in urine	Include variables that represent the calculated urine albumin-creatinine ratio. Include all time points and all repeated measures within each time point, e.g. albumin-creatinine ratio variables included in multiple datasets. Include all instances of duplicated variables, e.g. albumin-creatinine ratio measured for different datasets. Include both corrected/adjusted and uncorrected/unadjusted measures. Do not include variables that represent the albumin and creatinine components used to derive albumin-creatinine ratio.	C1318330	Urine albumin:creatinine ratio result
Kidney function	GFR	Quantitative measure of glomerular filtration rate (GFR)	Include variables that represent calculated glomerular filtration rate (GFR). Include all GFR variables, regardless of how they were calculated, e.g. eGFR from creatinine-based approximations (by any available formula) or direct measurements based on inulin clearance. Include all time points and all repeated measures at each time point, e.g. GFR measured at multiple exams, and GFR measured multiple times at the same exam. Include all instances of duplicated variables, e.g. GFR variables included in multiple datasets. Include both corrected/adjusted and uncorrected/unadjusted measures. Include variables in all measurement units available, e.g. GFR in mL/min and GFR in L/min. Do not include variables that represent the creatinine or other component variables used to derive the calculated GFR.	C4524116	Estimated GFR
Lipids	LDL in blood	Quantitative measure of low-density lipoprotein (LDL) cholesterol concentration in blood	Include variables that represent a measurement of the concentration of LDL-cholesterol in the blood. Include all time points and all repeated measures at each time point, e.g. LDL-cholesterol measured at multiple exams, and LDL-cholesterol measured multiple times at the same exam. Include all instances of duplicated variables, e.g. LDL-cholesterol variables included in multiple datasets. Include both corrected/adjusted and uncorrected/unadjusted measures. Include variables in all measurement units available, e.g. LDL-cholesterol in mg/dL and LDL-cholesterol in mmol/L. Include variables that are measured directly (e.g. by NMR) and those estimated via the Friedewald (or other) equation. Include both corrected/adjusted and uncorrected/unadjusted measures. Include variables for which LDL-cholesterol measurement was made in whole blood, serum, or plasma.  Include variables that represent both fasting and non-fasting measurement of LDL-cholesterol. Do not include variables representing VLDL measurements.	C2603388	Cholesterol.in LDL [Mass or Molecules/volume] in Serum or Plasma
Lipids	HDL in blood	Quantitative measure of high-density lipoprotein (HDL) cholesterol concentration in blood	Include variables that represent a measurement of the concentration of HDL-cholesterol in the blood. Include all time points and all repeated measures at each time point, e.g. HDL-cholesterol measured at multiple exams, and HDL-cholesterol measured multiple times at the same exam. Include all instances of duplicated variables, e.g. HDL-cholesterol variables included in multiple datasets. Include both corrected/adjusted and uncorrected/unadjusted measures. Include variables in all measurement units available, e.g. HDL-cholesterol in mg/dL and HDL-cholesterol in mmol/L. Include both corrected/adjusted and uncorrected/unadjusted measures. Include variables for which HDL-cholesterol measurement was made in whole blood, serum, or plasma.  Include variables that represent both fasting and non-fasting measurement of HDL-cholesterol.	C2603387	Cholesterol.in HDL [Mass or Molecules/volume] in Serum or Plasma
Lipids	Triglycerides in blood	Quantitative measure of triglyceride concentration in blood	Include variables that represent a measurement of the concentration of triglycerides in the blood. Include all time points and all repeated measures at each time point, e.g. triglycerides measured at multiple exams, and triglycerides measured multiple times at the same exam. Include all instances of duplicated variables, e.g. triglycerides variables included in multiple datasets. Include both corrected/adjusted and uncorrected/unadjusted measures. Include variables in all measurement units available, e.g. triglycerides in mg/dL and triglycerides in mmol/L. Include both corrected/adjusted and uncorrected/unadjusted measures. Include variables for which triglycerides measurement was made in whole blood, serum, or plasma.  Include variables that represent both fasting and non-fasting measurement of triglycerides.	C0428475	Triglyceride level - finding
Lipids	Total cholesterol in blood	Quantitative measure of total cholesterol concentration in blood	Include variables that represent a measurement of the concentration of total cholesterol in the blood. Include all time points and all repeated measures at each time point, e.g. total cholesterol measured at multiple exams, and total cholesterol measured multiple times at the same exam. Include all instances of duplicated variables, e.g. total cholesterol variables included in multiple datasets. Include both corrected/adjusted and uncorrected/unadjusted measures. Include variables in all measurement units available, e.g. total cholesterol in mg/dL and total cholesterol in mmol/L. Include both corrected/adjusted and uncorrected/unadjusted measures. Include variables for which total cholesterol measurement was made in whole blood, serum, or plasma.  Include variables that represent both fasting and non-fasting measurement of total cholesterol.	C0201950	Cholesterol measurement test
Lung	FVC	Quantitative measure of forced vital capacity (FVC) measured using spirometry	Include variables that represent an FVC measurement. Include all time points and all repeated measures at each time point, e.g. FVC measured at multiple exams, and FVC measured multiple times at the same exam. Include all instances of duplicated variables, e.g. FVC variables included in multiple datasets. Include variables in all measurement units available, e.g. FVC in liters and FVC in milliliters. Include both individual measures of FVC and averages or maximum values thereof. Include both corrected/adjusted and uncorrected/unadjusted measures. Include measures both pre- and post-bronchodilator administration.	C3714541	Forced Vital Capacity
